Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Longwood,W,43,69,0.623,8,19,0.421,19,27,0.704,13,38,28,15,6,12,17,,28,62,0.452,11,30,0.367,8,13,0.615,10,25,16,6,0,23,22
11/15/2010,,Valparaiso,W,31,58,0.534,7,21,0.333,10,14,0.714,9,47,20,5,9,15,17,,17,62,0.274,2,19,0.105,8,16,0.5,14,32,9,4,2,12,19
11/19/2010,,North Texas,W,32,54,0.593,9,15,0.6,20,29,0.69,9,33,23,10,5,8,19,,25,59,0.424,0,12,0,10,15,0.667,7,19,12,1,2,12,19
11/23/2010,,Texas A&M-Corpus Christi,W,35,58,0.603,5,16,0.313,7,13,0.538,6,36,26,10,10,9,10,,18,58,0.31,3,17,0.176,2,6,0.333,9,27,6,2,2,16,12
11/26/2010,N,Ohio,W,35,62,0.565,9,23,0.391,19,30,0.633,14,42,20,5,5,12,17,,14,59,0.237,0,18,0,13,15,0.867,13,31,3,4,1,22,25
11/27/2010,N,Arizona,W,31,57,0.544,5,14,0.357,20,29,0.69,9,30,15,7,4,12,19,,27,60,0.45,10,27,0.37,15,21,0.714,12,34,12,4,2,19,28
12/2/2010,,UCLA,W,28,55,0.509,5,11,0.455,16,30,0.533,10,31,16,10,5,15,18,,28,58,0.483,6,14,0.429,14,22,0.636,11,36,13,7,3,19,25
12/7/2010,N,Memphis,W,32,56,0.571,6,11,0.545,11,19,0.579,9,39,19,8,6,20,14,,27,73,0.37,6,19,0.316,8,11,0.727,11,26,10,14,3,12,18
12/11/2010,N,Colorado State,W,25,54,0.463,8,23,0.348,18,31,0.581,18,47,13,10,10,17,19,,17,60,0.283,6,17,0.353,15,20,0.75,12,27,10,9,2,11,23
12/18/2010,,USC,W,21,54,0.389,7,18,0.389,21,31,0.677,13,38,12,9,3,13,18,,23,51,0.451,7,15,0.467,15,21,0.714,6,29,12,8,3,16,22
12/22/2010,@,University of California,W,28,62,0.452,7,19,0.368,15,18,0.833,11,39,15,9,1,14,25,,20,57,0.351,4,22,0.182,19,33,0.576,12,34,12,4,5,17,20
12/29/2010,,Texas-Arlington,W,29,57,0.509,8,24,0.333,16,23,0.696,14,37,15,9,4,13,12,,24,56,0.429,5,17,0.294,4,9,0.444,9,24,11,6,3,12,16
1/2/2011,,Miami (OH),W,35,61,0.574,8,16,0.5,5,7,0.714,15,44,24,9,5,18,17,,20,51,0.392,8,28,0.286,8,13,0.615,5,16,13,9,3,13,14
1/5/2011,,UMKC,W,34,61,0.557,11,26,0.423,20,23,0.87,4,34,26,18,1,15,24,,16,53,0.302,3,21,0.143,17,31,0.548,10,31,4,6,2,25,20
1/9/2011,@,Michigan,W (1 OT),20,56,0.357,4,24,0.167,23,31,0.742,12,41,14,6,0,16,18,,21,63,0.333,4,28,0.143,14,17,0.824,12,41,9,7,2,14,21
1/12/2011,@,Iowa State,W,30,64,0.469,5,19,0.263,19,31,0.613,12,43,15,7,6,16,14,,30,71,0.423,9,32,0.281,10,10,1,5,31,16,5,3,12,22
1/15/2011,,Nebraska,W,23,50,0.46,7,21,0.333,10,19,0.526,8,31,14,5,6,15,17,,22,61,0.361,3,13,0.231,13,16,0.813,16,39,12,7,2,14,19
1/17/2011,@,Baylor,W,35,56,0.625,7,18,0.389,8,9,0.889,10,24,18,12,3,14,20,,20,41,0.488,5,10,0.5,20,26,0.769,6,17,12,8,2,18,13
1/22/2011,,Texas,L,23,64,0.359,6,19,0.316,11,18,0.611,11,33,13,5,2,12,23,,22,48,0.458,5,11,0.455,25,31,0.806,7,40,6,7,9,15,21
1/25/2011,@,Colorado,W,29,57,0.509,10,24,0.417,14,18,0.778,11,35,19,2,4,12,19,,27,56,0.482,9,13,0.692,15,17,0.882,2,19,14,6,3,6,17
1/29/2011,,Kansas State,W,34,55,0.618,5,10,0.5,17,27,0.63,9,37,20,10,3,14,18,,23,68,0.338,7,22,0.318,13,20,0.65,17,31,8,5,2,15,20
