Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Jacksonville,W,32,62,.516,9,22,.409,16,25,.640,9,33,16,9,3,14,19,,25,58,.431,8,18,.444,19,24,.792,9,30,11,9,1,18,22
2010-11-15,@,Memphis,L,20,61,.328,3,19,.158,25,36,.694,20,46,5,5,5,18,29,,19,56,.339,4,22,.182,30,39,.769,11,27,10,10,6,12,29
2010-11-19,,North Carolina Central,W,29,58,.500,10,22,.455,20,25,.800,15,47,17,7,6,19,21,,26,58,.448,5,21,.238,8,18,.444,5,18,14,11,1,13,24
2010-11-21,@,Rutgers,L,14,48,.292,5,23,.217,12,20,.600,14,34,5,7,4,17,11,,24,56,.429,5,16,.313,8,10,.800,10,32,17,11,6,12,20
2010-11-24,,McNeese State,W,29,56,.518,10,22,.455,11,12,.917,8,36,22,7,9,13,11,,22,64,.344,11,24,.458,4,5,.800,8,27,16,5,3,13,12
2010-11-27,@,Florida Gulf Coast,W,25,55,.455,13,33,.394,24,27,.889,14,32,16,5,5,15,24,,26,59,.441,9,20,.450,14,25,.560,15,28,15,7,0,14,20
2010-11-30,,Ole Miss,W,30,60,.500,8,19,.421,18,27,.667,12,38,17,6,1,11,12,,27,63,.429,9,24,.375,10,14,.714,9,26,12,4,3,7,20
2010-12-04,,West Virginia,W,26,55,.473,8,16,.500,19,25,.760,12,25,10,9,0,11,20,,24,55,.436,7,22,.318,21,24,.875,14,31,14,6,3,12,22
2010-12-12,,Stetson,W,22,52,.423,8,21,.381,16,21,.762,10,30,15,5,3,18,14,,21,51,.412,5,18,.278,7,12,.583,6,28,11,10,1,18,19
2010-12-18,N,UCF,L,25,57,.439,7,13,.538,21,30,.700,5,28,10,5,4,11,29,,29,56,.518,5,14,.357,21,43,.488,9,36,8,4,4,11,26
2010-12-21,N,Oral Roberts,W,22,42,.524,3,9,.333,22,27,.815,7,31,4,9,3,16,16,,18,51,.353,3,15,.200,17,23,.739,10,26,7,5,2,11,19
2010-12-22,N,Rice,W,22,45,.489,13,23,.565,16,22,.727,3,23,14,4,2,10,19,,20,49,.408,7,18,.389,20,28,.714,8,28,15,6,1,10,16
2010-12-23,N,Akron,W,21,50,.420,1,11,.091,26,36,.722,13,37,9,5,4,15,18,,21,62,.339,6,27,.222,13,20,.650,16,34,9,5,0,13,27
2010-12-30,,Pepperdine,W,28,52,.538,12,25,.480,26,35,.743,6,33,16,5,3,8,22,,17,55,.309,5,17,.294,20,27,.741,9,26,8,3,2,13,25
2011-01-02,@,Duke,L,24,65,.369,3,17,.176,12,20,.600,11,32,8,7,4,12,16,,26,60,.433,8,22,.364,14,15,.933,11,37,9,8,8,13,19
2011-01-08,@,Clemson,L,22,53,.415,9,23,.391,19,22,.864,7,21,9,7,0,8,18,,26,52,.500,8,21,.381,19,23,.826,11,31,14,6,8,10,19
2011-01-15,,Boston College,W,25,61,.410,8,21,.381,14,15,.933,15,34,13,10,4,8,14,,27,58,.466,8,25,.320,9,12,.750,11,31,12,4,4,10,15
2011-01-19,,Florida State,L,17,50,.340,5,22,.227,14,20,.700,8,36,7,5,6,10,23,,18,56,.321,3,17,.176,16,30,.533,16,39,9,5,2,11,19
2011-01-23,@,North Carolina State,L,29,61,.475,8,14,.571,4,5,.800,7,31,11,5,6,11,14,,27,60,.450,5,11,.455,13,16,.813,9,29,19,7,4,8,9
2011-01-26,,UNC,L,26,57,.456,13,28,.464,6,10,.600,12,29,13,5,3,11,15,,28,58,.483,6,16,.375,12,14,.857,12,30,15,4,6,11,14
2011-01-30,@,Virginia Tech,L,24,52,.462,8,27,.296,12,19,.632,10,27,12,2,3,10,23,,23,45,.511,8,17,.471,18,29,.621,3,22,13,2,3,8,17
2011-02-03,,Georgia Tech,W,21,40,.525,7,16,.438,10,19,.526,6,36,9,5,2,28,18,,17,62,.274,4,28,.143,19,24,.792,15,30,6,17,2,9,19
2011-02-05,,Virginia,W (1 OT),22,56,.393,9,23,.391,17,22,.773,8,39,8,2,4,13,17,,24,51,.471,11,19,.579,9,22,.409,1,25,17,8,6,10,18
2011-02-09,@,Wake Forest,W,23,49,.469,7,20,.350,21,27,.778,13,29,8,4,1,14,22,,21,39,.538,5,12,.417,26,33,.788,4,20,14,5,6,13,20
2011-02-13,,Duke,L,29,64,.453,8,22,.364,5,6,.833,12,29,16,2,3,13,18,,28,56,.500,8,19,.421,17,21,.810,9,28,17,8,2,9,12
2011-02-15,@,North Carolina-Greensboro,W,25,57,.439,12,24,.500,16,21,.762,14,36,11,9,7,13,12,,22,64,.344,3,20,.150,11,11,1.000,10,28,6,7,4,11,17
2011-02-20,,Clemson,L,19,39,.487,6,16,.375,15,23,.652,4,27,12,5,5,15,18,,20,47,.426,5,11,.455,18,21,.857,5,22,12,7,3,9,17
2011-02-23,@,Boston College,W,26,51,.510,7,15,.467,14,22,.636,10,31,15,5,1,13,17,,19,49,.388,8,23,.348,18,24,.750,7,26,13,8,1,11,19
2011-02-26,@,Florida State,L,20,63,.317,8,32,.250,11,13,.846,17,38,8,4,3,16,18,,22,49,.449,8,14,.571,13,20,.650,8,31,14,11,3,17,13
2011-03-02,,Maryland,W,28,51,.549,12,23,.522,12,17,.706,7,33,20,5,3,16,18,,21,62,.339,9,18,.500,15,22,.682,17,37,16,8,1,11,19
2011-03-06,@,Georgia Tech,L,21,50,.420,9,20,.450,6,10,.600,7,31,10,7,1,21,16,,22,50,.440,12,28,.429,10,20,.500,4,25,18,15,5,14,13
2011-03-10,N,Virginia,W (1 OT),25,64,.391,10,29,.345,9,20,.450,9,39,11,4,6,13,19,,24,60,.400,6,15,.400,8,16,.500,7,35,9,8,4,11,21
2011-03-11,N,UNC,L,22,60,.367,9,26,.346,6,9,.667,10,25,9,12,1,12,14,,22,50,.440,10,21,.476,7,10,.700,11,38,17,1,5,20,13
2011-03-16,,Florida Atlantic,W,30,50,.600,5,17,.294,20,26,.769,10,35,11,1,4,7,21,,22,57,.386,4,16,.250,14,22,.636,12,25,6,4,2,8,21
2011-03-21,,Missouri State,W,26,52,.500,8,22,.364,21,24,.875,8,32,14,4,5,8,14,,25,66,.379,13,29,.448,9,15,.600,11,27,14,3,1,7,17
2011-03-23,@,Alabama,L,23,57,.404,2,15,.133,16,23,.696,13,33,5,5,0,18,20,,30,55,.545,4,15,.267,15,24,.625,10,34,10,13,7,14,22
2011-11-11,,Tennessee Tech,W,21,54,.389,7,22,.318,20,25,.800,11,39,10,7,3,14,18,,19,47,.404,8,17,.471,12,19,.632,5,24,7,5,5,15,22
2011-11-15,,Rutgers,W,25,51,.490,10,23,.435,12,21,.571,11,31,13,7,7,8,11,,24,65,.369,9,23,.391,0,6,.000,17,32,12,3,2,14,17
2011-11-19,,North Florida,W,24,54,.444,7,18,.389,20,26,.769,13,33,13,5,8,8,15,,23,57,.404,8,21,.381,8,14,.571,14,31,14,3,2,13,20
2011-11-22,,Florida Gulf Coast,W,18,56,.321,7,27,.259,17,23,.739,10,32,12,7,4,6,12,,20,49,.408,3,15,.200,7,11,.636,8,36,7,1,5,17,22
2011-11-25,@,Ole Miss,L (1 OT),22,60,.367,9,26,.346,8,13,.615,7,32,13,11,3,16,21,,19,50,.380,7,21,.333,19,30,.633,7,35,11,6,7,16,19
2011-11-29,@,Purdue,L,21,54,.389,8,23,.348,15,20,.750,9,25,12,4,1,11,22,,26,47,.553,4,16,.250,20,29,.690,6,26,10,4,5,10,17
2011-12-03,,UMass,W,24,59,.407,8,17,.471,27,36,.750,9,34,14,6,7,11,23,,24,66,.364,7,24,.292,20,27,.741,13,41,12,6,3,14,27
2011-12-06,,Memphis,L,20,56,.357,5,18,.278,9,18,.500,7,29,6,3,5,13,15,,28,60,.467,1,12,.083,14,20,.700,11,38,12,10,7,7,19
2011-12-10,@,West Virginia,L,24,55,.436,9,23,.391,9,15,.600,7,22,10,4,0,9,20,,27,50,.540,8,20,.400,15,18,.833,5,31,19,3,3,10,15
2011-12-17,N,Florida Atlantic,W (2 OT),31,50,.620,14,20,.700,17,25,.680,2,22,20,7,10,18,17,,32,71,.451,15,29,.517,11,14,.786,11,28,21,10,3,16,18
2011-12-22,@,Charlotte,W,27,50,.540,8,19,.421,14,18,.778,9,38,11,2,5,12,17,,19,59,.322,8,23,.348,15,21,.714,12,26,10,9,1,8,17
2011-12-30,,Appalachian State,W,28,51,.549,7,16,.438,21,27,.778,4,31,12,8,3,9,15,,20,57,.351,6,22,.273,8,16,.500,9,27,15,6,2,11,21
2012-01-02,,North Carolina-Greensboro,W,31,59,.525,7,20,.350,30,38,.789,12,35,12,11,4,18,17,,32,66,.485,11,21,.524,14,18,.778,10,28,21,13,0,20,28
2012-01-07,@,Virginia,L,18,51,.353,5,17,.294,10,13,.769,12,36,5,4,1,11,14,,21,55,.382,4,13,.308,6,10,.600,10,30,10,5,1,7,15
2012-01-10,@,UNC,L,23,55,.418,3,16,.188,7,10,.700,5,27,10,8,1,17,17,,31,69,.449,2,16,.125,9,14,.643,15,44,15,10,2,12,11
2012-01-18,,Clemson,W,27,52,.519,9,20,.450,13,14,.929,5,28,19,10,3,14,16,,27,57,.474,6,20,.300,13,20,.650,9,26,12,10,5,11,13
2012-01-22,,North Carolina State,L,27,61,.443,2,20,.100,17,23,.739,11,34,10,11,5,14,22,,24,52,.462,6,10,.600,24,31,.774,6,29,14,10,4,15,16
2012-01-24,@,Georgia Tech,W,26,54,.481,9,17,.529,3,3,1.000,5,27,15,3,3,7,16,,20,56,.357,4,15,.267,5,11,.455,12,33,8,4,3,7,7
2012-01-29,@,Boston College,W,27,63,.429,7,21,.333,15,17,.882,11,29,13,10,5,5,14,,17,43,.395,7,19,.368,13,17,.765,7,31,10,3,2,17,15
2012-02-01,,Maryland,W (2 OT),31,73,.425,8,28,.286,20,27,.741,12,41,17,8,4,14,22,,27,67,.403,6,28,.214,26,35,.743,11,40,11,8,5,19,22
2012-02-05,@,Duke,W (1 OT),28,67,.418,7,23,.304,15,25,.600,18,42,11,4,0,13,19,,26,68,.382,9,31,.290,13,22,.591,17,40,12,8,5,11,22
2012-02-09,,Virginia Tech,W,24,58,.414,7,20,.350,10,15,.667,8,29,13,6,7,9,7,,19,54,.352,5,15,.333,6,9,.667,9,37,10,6,3,15,13
2012-02-11,@,Florida State,L,22,56,.393,5,22,.227,10,13,.769,12,33,10,6,1,15,15,,23,50,.460,5,16,.313,13,19,.684,9,27,9,7,6,15,13
2012-02-15,,UNC,L,25,64,.391,8,23,.348,6,8,.750,15,33,10,4,2,14,21,,26,68,.382,5,18,.278,16,23,.696,20,42,17,8,6,7,12
2012-02-18,,Wake Forest,W,30,65,.462,12,31,.387,2,3,.667,13,37,20,5,3,9,11,,20,48,.417,7,21,.333,9,11,.818,4,22,12,7,3,12,12
2012-02-21,@,Maryland,L,22,54,.407,6,15,.400,20,26,.769,10,29,5,4,2,9,18,,26,57,.456,4,15,.267,19,22,.864,11,35,15,4,4,9,15
2012-02-26,,Florida State,W,23,47,.489,9,20,.450,23,34,.676,7,29,11,7,7,11,17,,24,59,.407,5,23,.217,9,16,.563,12,34,13,5,5,18,29
2012-02-29,@,North Carolina State,L,26,73,.356,8,29,.276,13,19,.684,16,39,10,3,3,6,19,,28,56,.500,7,16,.438,14,26,.538,11,39,19,3,6,7,16
2012-03-03,,Boston College,W,28,56,.500,12,30,.400,9,15,.600,5,28,14,8,2,10,12,,21,49,.429,9,29,.310,5,11,.455,6,26,10,7,0,17,19
2012-03-08,N,Georgia Tech,W,18,54,.333,3,18,.167,15,19,.789,11,32,5,11,2,10,8,,14,44,.318,3,16,.188,5,9,.556,5,28,6,3,5,20,15
2012-03-09,N,Florida State,L,26,64,.406,10,25,.400,9,13,.692,14,37,13,2,3,11,23,,24,50,.480,9,16,.563,25,32,.781,5,28,13,6,8,11,15
2012-03-14,,Valparaiso,W,26,53,.491,10,22,.455,4,6,.667,7,31,16,5,3,8,9,,19,53,.358,5,27,.185,7,9,.778,10,29,9,5,0,9,12
2012-03-19,,Minnesota,L,21,61,.344,4,25,.160,14,22,.636,10,19,7,9,1,8,16,,28,48,.583,6,13,.462,16,19,.842,10,37,14,2,2,18,21
2012-11-09,,Stetson,W,32,61,.525,7,21,.333,16,24,.667,12,38,19,4,1,11,13,,28,63,.444,13,31,.419,10,14,.714,7,28,20,6,1,10,21
2012-11-13,@,Florida Gulf Coast,L,16,55,.291,8,26,.308,11,21,.524,13,31,10,7,2,16,16,,25,51,.490,1,11,.091,12,15,.800,10,37,12,9,3,18,23
2012-11-16,,Jacksonville,W,23,39,.590,4,12,.333,23,35,.657,6,26,13,12,3,14,12,,20,50,.400,7,20,.350,10,20,.500,10,22,11,8,1,16,22
2012-11-24,,Detroit,W,28,54,.519,4,15,.267,17,19,.895,10,40,15,6,5,13,12,,21,59,.356,11,32,.344,9,14,.643,9,25,10,7,2,12,20
2012-11-28,,Michigan State,W,21,44,.477,9,16,.563,16,18,.889,4,25,7,5,5,9,10,,24,59,.407,6,14,.429,5,11,.455,12,33,11,4,3,11,16
2012-12-01,@,UMass,W,25,52,.481,6,15,.400,19,25,.760,5,34,11,4,8,9,17,,18,63,.286,7,32,.219,19,26,.731,14,32,13,5,4,6,20
2012-12-14,,Charlotte,W,27,56,.482,7,15,.467,16,26,.615,9,40,11,9,12,12,12,,20,63,.317,2,14,.143,4,11,.364,12,33,5,4,3,16,24
2012-12-18,@,UCF,W,28,58,.483,8,20,.400,8,13,.615,12,37,15,6,2,11,17,,17,48,.354,5,22,.227,11,17,.647,5,22,9,4,5,12,12
2012-12-23,N,Arizona,L,19,52,.365,5,19,.263,7,14,.500,5,19,5,14,1,9,13,,25,52,.481,8,18,.444,11,17,.647,12,44,11,6,0,16,18
2012-12-23,@,Hawaii,W,27,56,.482,6,18,.333,13,16,.813,9,29,11,10,4,6,11,,22,55,.400,8,21,.381,6,8,.750,11,29,16,2,3,15,13
2012-12-25,N,Indiana State,L (1 OT),22,65,.338,0,15,.000,11,21,.524,13,42,7,4,6,8,16,,17,63,.270,6,25,.240,17,18,.944,11,39,8,4,3,9,15
2013-01-02,,La Salle,W,24,51,.471,8,17,.471,20,28,.714,7,37,7,6,6,9,10,,23,62,.371,7,21,.333,6,9,.667,8,29,10,5,2,10,20
2013-01-05,@,Georgia Tech,W,22,53,.415,7,19,.368,11,17,.647,10,38,13,8,5,13,13,,17,52,.327,5,18,.278,10,15,.667,7,26,13,5,2,12,13
2013-01-10,@,UNC,W,25,53,.472,9,26,.346,9,13,.692,5,28,10,7,8,12,11,,24,60,.400,6,15,.400,5,8,.625,10,30,15,9,3,11,11
2013-01-13,,Maryland,W,22,63,.349,5,20,.250,5,13,.385,9,37,15,8,6,8,16,,18,57,.316,3,15,.200,8,18,.444,8,41,4,6,6,14,16
2013-01-16,@,Boston College,W,22,53,.415,7,18,.389,9,14,.643,8,29,9,6,2,6,18,,20,46,.435,8,22,.364,11,18,.611,4,26,12,3,3,9,17
2013-01-23,,Duke,W,33,58,.569,9,19,.474,15,27,.556,8,44,14,8,8,16,21,,22,74,.297,4,23,.174,15,23,.652,15,39,13,7,2,10,20
2013-01-27,,Florida State,W,27,63,.429,8,22,.364,9,14,.643,8,34,19,3,7,8,18,,16,52,.308,3,17,.176,12,17,.706,4,29,6,4,4,11,20
2013-01-30,@,Virginia Tech,W,26,54,.481,9,24,.375,12,16,.750,8,30,12,6,8,12,12,,24,53,.453,10,20,.500,6,11,.545,7,26,11,4,2,17,18
2013-02-02,@,North Carolina State,W,30,61,.492,3,21,.143,16,23,.696,11,26,9,10,2,8,16,,28,52,.538,4,9,.444,18,21,.857,8,29,11,5,3,12,17
2013-02-05,,Boston College,W,27,57,.474,11,22,.500,7,14,.500,14,39,16,7,4,11,13,,20,54,.370,5,23,.217,5,10,.500,10,27,6,8,1,8,16
2013-02-09,,UNC,W,31,57,.544,15,26,.577,10,12,.833,8,33,17,3,6,13,7,,25,65,.385,6,20,.300,5,6,.833,9,25,10,3,3,9,15
2013-02-13,@,Florida State,W,30,47,.638,3,8,.375,11,19,.579,6,22,9,9,4,16,19,,24,52,.462,4,15,.267,16,21,.762,9,23,9,7,2,17,18
2013-02-17,@,Clemson,W,18,52,.346,3,19,.158,6,7,.857,9,39,7,4,3,13,15,,17,56,.304,4,17,.235,5,13,.385,13,35,8,9,4,6,12
2013-02-19,,Virginia,W,22,47,.468,1,7,.143,9,16,.563,5,31,11,4,7,8,10,,20,52,.385,5,15,.333,5,8,.625,6,27,12,6,4,7,17
2013-02-23,@,Wake Forest,L,25,64,.391,8,21,.381,7,13,.538,12,34,7,5,5,13,23,,26,48,.542,7,12,.583,21,31,.677,5,34,11,7,9,12,15
2013-02-27,,Virginia Tech,W,23,46,.500,8,21,.381,22,30,.733,6,25,11,6,5,10,19,,21,53,.396,3,16,.188,13,19,.684,10,26,8,4,1,10,21
2013-03-02,@,Duke,L,28,64,.438,6,21,.286,14,17,.824,11,37,7,1,0,10,20,,26,50,.520,11,23,.478,16,26,.615,4,25,12,4,5,10,18
2013-03-06,,Georgia Tech,L,24,50,.480,6,18,.333,15,21,.714,5,25,10,4,5,8,11,,30,58,.517,8,18,.444,3,6,.500,5,29,14,4,4,9,19
2013-03-09,,Clemson,W,19,45,.422,9,21,.429,15,19,.789,9,32,11,4,2,13,15,,18,45,.400,3,13,.231,10,17,.588,6,19,7,9,5,9,15
2013-03-15,N,Boston College,W,25,52,.481,8,24,.333,11,17,.647,7,27,11,7,1,8,21,,19,45,.422,7,18,.389,13,21,.619,4,23,10,2,0,11,17
2013-03-16,N,North Carolina State,W,26,57,.456,6,20,.300,23,30,.767,13,35,10,6,4,11,19,,25,50,.500,7,16,.438,14,25,.560,7,25,14,10,5,14,22
2013-03-17,N,UNC,W,30,59,.508,12,22,.545,15,20,.750,10,33,13,6,3,8,10,,27,60,.450,13,29,.448,10,11,.909,9,26,17,6,0,8,18
2013-03-22,N,Pacific,W,24,52,.462,12,22,.545,18,21,.857,10,39,12,7,4,11,14,,18,54,.333,9,26,.346,4,11,.364,9,27,9,2,1,14,16
